Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
81014336.0,0.09927093815796408,53.33,78.73,3.0,1.0,5.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,6.0,6.0,3.0,1.0,4.0,1.0,4.0,3.0,6.0,6.0,5.0,6.0,6.0,4.0,1.0,1.0,5.0,1.0,4.0,6.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,6.0,5.0,2.0
81604160.0,0.09999367915318846,73.29,91.96,3.0,1.0,1.0,3.0,6.0,5.0,3.0,1.0,3.0,1.0,6.0,7.0,4.0,1.0,3.0,1.0,2.0,6.0,2.0,6.0,3.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,6.0,5.0,6.0,4.0,2.0,2.0,1.0,5.0,2.0,3.0,6.0,2.0,3.0,5.0,1.0,3.0,4.0,1.0,5.0,1.0,6.0,1.0,6.0
80618688.0,0.09878613077596786,44.21,70.9,1.0,3.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,1.0,6.0,7.0,2.0,3.0,2.0,3.0,5.0,1.0,6.0,4.0,1.0,7.0,1.0,4.0,3.0,1.0,6.0,4.0,4.0,3.0,5.0,7.0,2.0,1.0,5.0,5.0,7.0,2.0,4.0,1.0,4.0,7.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,5.0,1.0,3.0
81563968.0,0.09994442987530208,73.86,92.16,7.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,7.0,5.0,4.0,7.0,3.0,6.0,6.0,3.0,6.0,4.0,1.0,7.0,6.0,4.0,3.0,2.0,1.0,5.0,4.0,3.0,5.0,1.0,6.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,6.0,4.0,2.0,1.0,6.0,1.0
81528000.0,0.09990035647693879,44.45,71.43,1.0,1.0,7.0,6.0,2.0,6.0,7.0,7.0,3.0,6.0,2.0,7.0,7.0,5.0,2.0,7.0,1.0,1.0,2.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,7.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,6.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0,6.0,1.0,5.0,5.0,1.0,3.0
80643264.0,0.09881624498410221,50.27,76.04,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,6.0,5.0,5.0,2.0,2.0,5.0,1.0,5.0,3.0,2.0,3.0,6.0,4.0,4.0,2.0
81529216.0,0.0999018465028621,59.37,83.47,2.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,6.0,5.0,4.0,1.0,2.0,5.0,2.0,4.0,4.0,6.0,3.0,7.0,4.0,1.0,2.0,4.0,2.0,6.0,4.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,1.0,4.0,6.0,5.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,6.0
80726400.0,0.09891811570380668,61.31,84.85,2.0,5.0,5.0,7.0,3.0,4.0,1.0,4.0,1.0,3.0,6.0,1.0,6.0,1.0,3.0,1.0,3.0,7.0,6.0,4.0,7.0,2.0,1.0,3.0,6.0,1.0,5.0,5.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,2.0,7.0,1.0,6.0,3.0,1.0,5.0,1.0,1.0,6.0,4.0,1.0,1.0,4.0,6.0,1.0,1.0,3.0,3.0
80804224.0,0.0990134773628988,67.54,88.67,2.0,4.0,3.0,3.0,1.0,4.0,7.0,3.0,7.0,3.0,3.0,6.0,1.0,7.0,7.0,1.0,7.0,1.0,1.0,1.0,7.0,2.0,5.0,7.0,5.0,7.0,5.0,2.0,4.0,5.0,1.0,5.0,7.0,4.0,3.0,5.0,6.0,5.0,3.0,1.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,2.0,4.0,6.0,4.0,5.0,5.0
81408320.0,0.09975370655711786,50.41,77.28,7.0,7.0,1.0,2.0,6.0,3.0,6.0,7.0,3.0,1.0,4.0,5.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,6.0,1.0,1.0,4.0,6.0,1.0,1.0,7.0,3.0,4.0,1.0,5.0,2.0,1.0,4.0,6.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,1.0,6.0,2.0,1.0,4.0,3.0,5.0,5.0
