"A1","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A2","A3","A4","A5","A6","A7","A8","A9","Top1","Top5","W1","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W2","W3","W4","W5","W6","W7","W8","W9"
7,5,4,7,8,4,5,6,6,7,6,7,6,7,3,7,7,5,8,80.92,95.08,6,6,6,7,5,2,7,6,2,5,6,4,7,4,6,4,7,7,7
6,8,8,6,5,7,5,8,5,6,6,5,4,7,7,6,8,7,7,80.42,95.13,3,3,5,7,5,3,7,3,3,2,5,6,7,5,3,4,5,3,6
6,5,8,8,5,7,8,8,6,6,7,6,6,2,6,8,7,6,8,62.64,85.18,1,6,5,6,4,5,5,4,3,2,4,5,2,4,5,6,3,5,5
6,6,8,8,8,6,5,7,6,8,8,8,8,3,6,6,8,4,8,82.49,95.97,8,8,6,5,7,6,7,8,1,5,5,7,8,6,7,6,7,7,6
8,7,8,8,8,7,4,6,4,3,8,8,6,7,8,8,6,8,6,80.18,95.28,6,8,5,8,8,4,6,4,1,3,7,6,4,8,7,1,7,5,8
8,6,6,8,6,5,7,7,8,8,8,7,8,6,8,7,6,7,7,80.51,95.33,3,5,8,6,6,8,4,8,1,1,8,6,8,7,3,8,4,3,6
8,8,8,7,8,7,5,7,6,5,6,7,6,7,7,5,5,5,6,80.08,95.14,7,7,7,2,4,5,5,3,2,5,1,6,4,6,4,7,6,7,4
7,7,7,8,7,6,8,5,4,8,8,8,8,7,7,8,7,5,8,80.97,95.43,8,6,5,6,7,3,7,3,1,3,2,4,7,7,2,7,8,5,4
6,8,7,6,8,5,7,5,6,8,3,8,5,8,8,5,7,8,6,82.91,96.19,7,6,6,8,6,7,7,6,2,5,5,5,7,7,5,6,6,8,6
5,8,6,7,8,7,7,8,5,8,5,8,8,7,7,8,8,6,6,80.58,95.16,8,8,5,8,7,5,6,8,1,1,6,6,7,7,6,1,8,7,7
5,7,4,8,7,5,8,6,8,7,5,8,6,7,7,5,7,7,6,82.21,95.84,4,7,6,7,5,8,7,8,1,4,5,7,8,7,7,7,8,5,8
6,4,8,8,8,8,8,6,2,6,8,6,6,7,6,8,8,6,3,82.63,96.03,7,5,7,5,5,4,6,3,2,3,3,6,3,5,5,7,7,4,6
7,7,7,6,8,7,7,7,5,5,8,6,8,7,8,4,7,4,6,77.95,94.43,7,7,2,7,3,6,7,1,3,2,5,6,2,6,2,7,5,5,5
6,6,7,7,6,8,7,8,8,6,7,8,7,8,8,6,7,4,8,82.35,95.94,3,8,5,4,4,4,6,8,2,6,3,7,3,6,6,7,4,7,5
7,6,6,7,8,8,7,8,1,6,6,8,6,5,3,8,5,4,7,73.67,92.52,5,2,8,7,3,6,7,4,2,1,7,5,8,6,6,5,6,8,5
8,6,7,8,8,5,7,8,7,4,8,7,8,8,7,7,8,8,8,82.43,95.84,7,4,6,8,7,7,6,8,1,4,7,8,6,6,6,8,6,8,8
6,6,6,7,6,6,5,6,4,7,8,6,7,7,8,6,5,7,5,78.41,94.42,6,4,4,6,3,6,7,3,2,5,2,7,4,6,5,6,4,1,7
7,8,5,7,7,7,7,6,4,7,5,8,7,7,7,6,8,5,8,76.21,93.92,8,6,5,5,7,7,6,5,2,1,8,4,5,5,4,7,8,4,7
8,7,8,8,5,7,6,8,4,6,8,4,8,7,6,7,7,5,8,76.94,93.69,7,6,7,5,5,6,6,6,2,1,5,7,5,2,7,6,6,6,1
8,7,8,7,8,5,8,6,7,8,8,6,8,8,8,8,7,8,6,82.12,95.92,4,7,5,7,4,7,7,8,1,6,3,6,6,8,7,6,5,4,7
7,8,7,8,8,8,6,5,6,7,8,4,7,6,7,7,8,6,8,81.68,95.68,6,4,8,5,5,6,6,4,1,3,7,7,7,8,7,5,8,8,7
5,7,7,7,7,6,6,6,2,5,8,7,8,8,8,8,4,7,5,79.11,94.73,7,5,6,4,7,4,6,2,3,1,7,6,7,8,8,3,7,7,8
8,8,5,5,6,4,8,5,3,7,6,8,7,6,8,7,8,7,7,80.69,95.27,8,8,7,5,8,5,5,6,2,3,3,8,5,5,8,2,8,7,3
8,8,7,7,7,7,5,5,8,5,7,5,8,4,6,8,7,8,6,79.67,94.98,8,3,8,3,8,6,7,6,1,1,8,8,7,7,6,5,8,8,7
8,7,7,8,6,7,8,6,8,8,4,5,7,8,8,8,8,8,5,82.72,96.02,6,6,6,5,6,4,5,6,2,7,6,7,7,4,7,7,8,4,5
7,4,7,8,5,8,4,8,7,8,6,8,4,8,7,8,7,3,8,82.06,95.95,4,5,7,3,6,5,5,7,3,2,2,7,5,7,5,6,3,5,6
4,8,8,7,8,7,6,8,5,8,5,7,6,7,7,8,6,7,7,82.8,96.1,8,4,4,5,4,6,6,6,3,2,3,5,7,4,8,5,4,6,7
