"A1","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A2","A3","A4","A5","A6","A7","A8","A9","Top1","Top5","W1","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W2","W3","W4","W5","W6","W7","W8","W9"
7,3,5,6,6,7,5,6,6,5,2,3,1,6,2,4,4,7,7,80.37,95.14,3,2,7,5,6,4,7,2,3,2,3,7,5,5,5,6,7,4,5
8,7,6,7,7,6,3,5,8,4,3,4,1,8,5,4,5,5,4,7.88,19.29,5,3,4,4,2,5,5,1,3,1,2,2,5,1,5,1,4,3,2
7,8,3,6,7,4,4,5,8,5,7,8,4,8,7,7,7,5,8,79.26,94.66,7,3,3,3,4,4,7,5,3,2,6,2,2,7,4,6,6,5,4
5,2,6,4,5,6,7,2,4,3,8,8,8,4,2,3,2,7,6,0.21,0.94,5,1,4,5,4,4,4,3,3,1,2,2,2,1,3,4,3,1,1
4,6,8,7,5,8,2,7,7,7,7,7,8,5,2,7,5,7,5,72.66,92.18,6,7,6,7,6,6,6,5,3,1,1,7,6,5,1,3,7,7,4
5,6,3,5,6,6,8,5,8,6,5,7,8,7,7,6,8,7,4,82.99,96.25,8,4,8,6,5,4,8,8,2,5,4,8,5,7,4,5,7,6,6
4,3,5,1,3,8,1,5,6,6,6,8,8,6,2,3,3,8,7,82.6,96.03,8,7,8,5,8,5,6,6,2,6,7,4,7,8,4,8,3,5,5
7,7,3,4,7,8,8,8,5,3,3,8,6,5,6,2,7,6,3,80.54,95.16,5,7,6,5,8,6,8,2,2,6,4,6,5,7,2,8,8,6,8
3,7,4,5,5,8,7,7,4,5,3,7,4,1,7,4,6,5,6,77.21,93.65,6,6,2,5,6,2,8,4,1,5,3,8,1,6,6,7,4,2,8
7,7,5,2,1,8,7,6,8,8,8,7,4,8,6,5,7,4,7,13.66,33.68,2,1,7,1,4,5,6,1,3,1,1,5,6,1,6,5,4,2,6
7,6,8,4,5,4,2,7,5,8,5,6,6,8,8,7,6,8,6,0.08,0.51,2,1,2,4,4,5,5,1,3,1,2,1,3,1,4,5,5,1,2
8,6,2,5,8,3,7,8,8,5,8,8,6,7,4,7,8,8,8,78.62,94.53,8,7,6,8,3,6,7,7,1,3,2,2,5,6,5,4,7,6,7
6,6,6,7,7,8,6,8,7,5,7,5,6,8,6,5,4,5,8,55.02,81.49,4,6,1,2,5,3,1,6,3,1,1,6,3,4,7,2,7,6,6
8,6,6,5,6,7,2,6,6,6,4,6,3,6,3,5,4,7,6,73.61,92.1,8,8,8,5,8,1,5,4,2,2,5,7,1,7,6,8,6,5,7
3,6,7,8,5,8,7,6,6,8,7,3,5,4,8,3,8,6,6,80.82,95.56,5,6,7,7,4,7,4,7,3,1,2,5,6,7,7,2,6,7,7
6,6,2,8,7,6,6,8,3,6,5,8,5,5,5,6,6,5,4,81.73,95.37,8,7,8,8,8,6,5,6,2,4,3,8,6,3,8,3,5,8,6
8,5,8,4,2,8,6,3,1,5,3,6,8,7,7,7,5,7,3,78.25,94.82,7,8,6,4,5,7,4,8,3,1,2,8,7,6,6,1,8,2,8
5,7,8,7,8,7,8,7,3,6,6,6,5,3,8,8,4,6,5,82.01,95.82,7,8,6,7,8,6,8,4,1,4,3,3,8,8,8,6,7,8,7
7,8,6,5,3,7,8,5,5,2,4,6,6,8,7,1,3,6,7,81.3,95.62,7,8,7,6,8,5,6,6,1,2,2,7,5,7,7,4,6,5,6
5,6,8,6,8,8,6,6,6,4,6,7,8,8,5,8,5,5,4,78.58,94.71,3,8,8,8,8,2,8,7,1,1,2,6,6,7,8,7,6,7,8
8,6,8,7,4,4,7,3,7,3,5,8,6,6,8,7,7,8,7,82.07,95.86,8,4,4,6,8,8,8,6,2,4,4,7,8,8,6,7,2,6,8
4,7,6,8,7,5,3,6,6,2,5,6,8,2,2,4,4,8,6,77.11,94.46,7,8,7,7,7,2,6,7,3,1,1,5,6,8,8,8,6,7,7
4,7,6,4,8,8,5,8,4,4,5,7,7,4,5,2,8,7,8,69.9,90.46,7,4,7,5,7,5,7,3,1,2,1,8,8,7,8,7,4,6,1
8,7,7,7,7,7,7,2,5,2,1,7,7,7,8,6,6,5,3,80.36,95.37,8,8,7,6,7,4,7,3,1,3,1,4,6,6,6,4,6,8,7
6,6,8,8,6,7,6,6,4,7,5,7,6,8,4,8,7,7,7,80.2,95.17,5,8,7,6,5,3,8,6,1,4,1,8,7,7,8,6,5,4,3
5,7,8,4,6,4,6,1,8,6,1,7,5,5,7,4,8,5,6,82.84,95.95,5,7,6,7,8,5,8,7,2,4,4,8,8,3,7,6,6,8,6
1,5,7,6,4,7,8,8,1,4,6,7,6,7,6,8,8,8,8,75.17,93.86,8,7,6,6,6,7,6,7,3,1,2,7,8,5,8,5,7,7,4
4,7,7,6,5,7,7,6,7,8,7,7,6,6,8,7,7,5,8,81.79,95.72,6,6,7,5,6,8,3,2,2,2,6,8,6,8,7,8,6,6,6
3,6,7,7,8,4,7,6,2,7,8,7,6,8,4,7,8,8,8,80.65,95.42,6,4,7,7,8,8,8,8,1,6,1,8,6,5,8,5,7,6,6
7,5,5,5,8,5,6,7,7,8,6,5,5,6,5,8,8,6,5,77.43,94.25,8,2,6,4,7,6,8,8,1,1,1,8,7,6,5,7,7,7,5
7,5,8,8,4,7,5,7,6,3,7,8,5,7,7,8,7,6,6,74.83,93.29,8,8,7,8,8,8,7,8,2,1,5,5,7,5,7,5,5,7,6
7,8,6,8,6,7,7,8,8,8,7,8,7,8,5,3,4,7,5,81.07,95.36,8,7,6,8,6,5,6,8,2,4,4,6,3,7,8,5,7,7,8
8,6,7,4,7,7,6,8,2,7,4,7,7,8,7,5,6,6,5,81.71,95.79,6,5,3,6,8,5,6,7,1,3,2,7,6,3,8,6,8,6,8
7,4,7,2,6,1,7,7,7,2,4,8,7,8,8,7,7,5,4,79.1,95.22,8,5,7,5,7,7,7,6,3,1,1,7,5,7,7,6,7,8,7
5,6,6,6,6,5,7,5,6,5,5,6,8,7,6,8,7,4,8,80.01,95.22,7,8,5,7,6,8,6,4,3,1,1,4,6,6,6,6,7,8,6
7,5,4,7,8,4,5,6,4,4,3,7,6,7,3,7,7,5,8,81.27,95.33,7,7,7,8,6,3,8,7,2,3,3,5,8,5,7,6,8,8,8
6,8,8,6,5,7,5,8,3,3,5,5,4,7,7,6,8,7,7,81.8,95.74,4,4,6,8,6,4,8,4,3,1,2,7,8,6,4,5,6,4,7
6,5,8,8,5,7,8,8,5,4,6,6,6,2,6,8,7,6,8,74.92,93.15,2,7,6,7,5,7,7,6,3,1,1,6,3,5,6,7,4,6,6
6,6,8,8,8,6,5,7,5,8,7,8,8,3,6,6,8,4,8,80,95.46,8,8,6,5,7,6,7,8,1,3,1,7,8,6,7,6,7,7,6
8,7,8,8,8,7,4,6,5,3,6,8,6,7,8,8,6,8,6,80.69,95.32,6,8,6,8,8,4,6,4,1,3,5,6,4,8,7,1,7,5,8
8,6,6,8,6,5,7,7,7,8,7,7,8,6,8,7,6,7,7,80.65,95.43,3,5,8,6,6,8,4,8,1,1,8,6,8,7,3,8,4,3,6
8,8,8,7,8,7,5,7,6,2,3,7,6,7,7,5,5,5,6,80.16,95.26,7,7,7,3,4,6,5,3,2,3,1,6,4,6,4,7,6,7,4
7,7,7,8,7,6,8,5,5,8,6,8,8,7,7,8,7,5,8,81.87,95.79,8,6,6,6,7,4,7,4,1,3,2,6,8,7,3,7,8,6,5
6,8,7,6,8,5,7,5,5,7,1,8,5,8,8,5,7,8,6,81.89,95.89,7,7,7,8,7,8,7,7,2,4,3,6,8,8,6,7,7,8,7
5,8,6,7,8,7,7,8,3,8,3,8,8,7,7,8,8,6,6,81.25,95.38,8,8,6,8,8,6,7,8,1,1,4,7,7,8,7,2,8,8,8
5,7,4,8,7,5,8,6,8,6,2,8,6,7,7,5,7,7,6,80.97,95.59,4,7,6,7,5,8,7,8,2,4,2,7,8,8,7,7,8,5,8
6,4,8,8,8,8,8,6,3,4,5,6,6,7,6,8,8,6,3,80.61,95.36,7,5,7,5,6,5,6,3,3,2,1,6,4,5,6,7,7,5,6
7,7,7,6,8,7,7,7,6,3,7,6,8,7,8,4,7,4,6,78.11,94.5,7,7,3,7,5,6,7,3,3,1,3,6,3,6,3,7,6,5,6
6,6,7,7,6,8,7,8,8,4,6,8,7,8,8,6,7,4,8,80.9,95.23,3,7,6,4,4,4,5,7,2,5,2,6,3,5,6,7,5,6,6
7,6,6,7,8,8,7,8,1,5,4,8,6,5,3,8,5,4,7,75.19,93.06,5,3,8,8,4,6,8,5,2,1,5,5,8,7,7,6,6,8,6
8,6,7,8,8,5,7,8,6,3,6,7,8,8,7,7,8,8,8,82.3,95.5,7,4,6,8,8,7,6,8,2,3,4,8,7,6,7,8,6,8,8
6,6,6,7,6,6,5,6,5,5,7,6,7,7,8,6,5,7,5,67.9,89.22,5,4,4,6,3,5,6,3,2,4,1,6,4,5,5,6,4,1,6
7,8,5,7,7,7,7,6,4,6,3,8,7,7,7,6,8,5,8,82.15,95.77,8,7,6,6,8,8,7,6,2,2,5,5,6,5,5,7,8,6,7
8,7,8,8,5,7,6,8,5,5,7,4,8,7,6,7,7,5,8,79.34,95.08,7,6,8,7,6,7,7,7,2,1,2,7,7,3,7,8,7,7,2
8,7,8,7,8,5,8,6,6,7,8,6,8,8,8,8,7,8,6,79.3,95.12,4,8,6,8,5,7,8,8,2,6,1,6,7,8,8,7,6,4,7
7,8,7,8,8,8,6,5,6,6,7,4,7,6,7,7,8,6,8,82.03,95.64,6,6,8,7,6,7,7,6,2,2,5,7,8,8,8,7,8,8,8
5,7,7,7,7,6,6,6,3,3,6,7,8,8,8,8,4,7,5,79.88,94.8,6,6,6,5,7,6,7,4,2,1,5,6,7,7,7,4,6,7,7
8,8,5,5,6,4,8,5,3,5,3,8,7,6,8,7,8,7,7,79.95,95.01,8,8,8,7,8,7,6,7,2,4,1,8,7,6,8,5,8,8,5
8,8,7,7,7,7,5,5,8,6,5,5,8,4,6,8,7,8,6,80.16,94.95,8,5,8,5,8,7,8,7,1,1,5,8,8,8,7,6,8,8,8
8,7,7,8,6,7,8,6,7,7,3,5,7,8,8,8,8,8,5,82.76,96.02,6,6,6,5,5,4,4,7,2,7,7,7,8,6,8,8,8,4,4
7,4,7,8,5,8,4,8,6,6,2,8,4,8,7,8,7,3,8,77,93.66,3,6,7,4,6,6,6,7,2,2,1,6,6,6,6,6,3,4,6
4,8,8,7,8,7,6,8,4,7,2,7,6,7,7,8,6,7,7,80.34,95.28,7,5,4,6,6,7,7,7,2,2,1,6,7,5,7,6,4,5,7
